/uploads/general/camscanner-2705070337.pdf	Handwritten Notes (CamScanner Set 4)
/uploads/general/divyanshu-ab-19063.pdf	Student Assignment Submission (AB-19063)
/uploads/general/endsem-2015-19-compilation.pdf	End-Semester PYQs (2015–2019 Compilation)
/uploads/general/endsem-2022-paper1.pdf	End-Semester Exam 2022 — Paper Set 1
/uploads/general/endsem-2022-paper2.pdf	End-Semester Exam 2022 — Paper Set 2
/uploads/general/endsem-pyq-compilation.pdf	End-Semester PYQ Compilation
/uploads/general/lab-manual-unlabeled.pdf	Lab Manual (Unclassified)
/uploads/general/paper.pdf	Question Paper (Unclassified)
/uploads/general/scan-2.pdf	Handwritten Notes (Scan 1)
/uploads/general/scan-3.pdf	Handwritten Notes (Scan 2)
/uploads/general/scan-4.pdf	Handwritten Notes (Scan 3)
/uploads/general/scan-5-alt.pdf	Handwritten Notes (Scan 5)
/uploads/general/scan-5.pdf	Handwritten Notes (Scan 4)
/uploads/general/sem2-syllabus.pdf	Semester 2 Syllabus
/uploads/general/semA-syllabus.pdf	First Year Syllabus Overview
/uploads/general/sgsits-papers.pdf	SGSITS Previous Year Question Papers
/uploads/general/sgsits-syllabus-btech-1st-year-2025.pdf	SGSITS B.Tech First Year Syllabus (2025)
/uploads/general/syllabus-2nd-sem.pdf	Semester 2 Syllabus (Alternate Copy)
/uploads/general/unlabeled-assignment-a1.pdf	Assignment 1 (Unclassified Subject)
/uploads/general/unlabeled-doc-1.docx	Miscellaneous Notes
/uploads/languages/ab-15096-eng-labmanual.pdf	Ab 15096 Eng Labmanual
/uploads/languages/communication-notes.docx	Communication Notes
/uploads/languages/eng-lab-manual.pdf	Eng Lab Manual
/uploads/languages/english-lab-manual-google-docs.pdf	English Lab Manual Google Docs
/uploads/languages/english-lab-tanmay-mehta.pdf	English Lab Tanmay Mehta
/uploads/languages/english-practical.pdf	English Practical
/uploads/languages/lab-manual-english.pdf	Lab Manual English
/uploads/languages/language-skills.docx	Language Skills
/uploads/languages/linguistics.pdf	Linguistics
/uploads/languages/lsrw-notes.pdf	Lsrw Notes
/uploads/languages/oral-presentation-notes.pdf	Oral Presentation Notes
/uploads/languages/ppt-communication-skills.pptx	Ppt Communication Skills
/uploads/languages/ppt-public-speaking.ppt	Ppt Public Speaking
/uploads/languages/project-report-sample-document.pdf	Project Report Sample Document
/uploads/languages/project-writing-notes.pdf	Project Writing Notes
/uploads/languages/sgsits-english-proficiency-test.pdf	Sgsits English Proficiency Test
/uploads/languages/sound-spelling-chart.pdf	Sound Spelling Chart
/uploads/languages/sq3r-method-notes.pdf	Sq3r Method Notes
/uploads/languages/technical-english-mst1.pdf	Technical English Mid-Semester Test 1
/uploads/languages/unit2-technical-english-notes.pdf	Unit2 Technical English Notes
/uploads/mathematics/all-pyq-last-year-compilation.pdf	Complete Previous Year Question Papers (All Subjects)
/uploads/mathematics/all-theorems.pdf	All Theorems
/uploads/mathematics/assignment-1-ma10509.pdf	Assignment 1 Ma10509
/uploads/mathematics/assignment-2-ma10501-data-science.pdf	Assignment 2 Ma10501 Data Science
/uploads/mathematics/assignment-2-sk.pdf	Assignment 2 Sk
/uploads/mathematics/assignment-2-unit-5.pdf	Assignment 2 Unit 5
/uploads/mathematics/asymptotes-and-curve-tracing.pdf	Asymptotes And Curve Tracing
/uploads/mathematics/beta-gamma-functions.pdf	Beta Gamma Functions
/uploads/mathematics/curvature-1.pdf	Curvature 1
/uploads/mathematics/curvature-2.pdf	Curvature 2
/uploads/mathematics/differential-equations-1.pdf	Differential Equations 1
/uploads/mathematics/differential-equations-2.pdf	Differential Equations 2
/uploads/mathematics/double-integrals.pdf	Double Integrals
/uploads/mathematics/fuzzy-sets.pdf	Fuzzy Sets
/uploads/mathematics/hyperbolic-functions.pdf	Hyperbolic Functions
/uploads/mathematics/indian-mathematicians-unit1.pdf	Indian Mathematicians Unit1
/uploads/mathematics/infinite-series-1.pdf	Infinite Series 1
/uploads/mathematics/infinite-series-2.pdf	Infinite Series 2
/uploads/mathematics/integration.pdf	Integration
/uploads/mathematics/m02-previous-years-2.pdf	Mathematics — Previous Year Questions (M02, Alternate Copy)
/uploads/mathematics/m02-previous-years.pdf	Mathematics — Previous Year Questions (M02)
/uploads/mathematics/math-endsem-2018-2024.pdf	Math Endsem 2018 2024
/uploads/mathematics/math-endsem-april2025.pdf	Math Endsem April2025
/uploads/mathematics/math-endsem-december2025.pdf	Math Endsem December2025
/uploads/mathematics/math-mst1-semA.pdf	Math Mid-Semester Test 1
