18Z3GSZaYQZZe2ot03PaJXQR48jn7OD2a	chemistry	chemistry-lab-manual-semA.pdf
1usZaqGYfih3GMXtQhnS4I94LGrwsDqUp	chemistry	chemistry-practicals-semA.pdf
1boA3bg1HAVPPcrKHdjvhZQuG7SzRYRe4	chemistry	chemistry-endsem-2025.pdf
1twZniQfWelytSVrq4xM0V59liqD_Scoj	chemistry	chemistry-mst1-semA.pdf
1Ju8aLsu8hlkGGBhazrGjXCi7OTmasqbw	chemistry	chemistry-mst2-semA.pdf
15LsoiLY2P2I6v9zVk61-J7wsngSxjgbF	chemistry	chemistry-lubricants-slides.pdf
1GakT4Evy4xPJM6Ij_iaOMO1TeeMmNGF7	chemistry	chemistry-water-slides.pdf
1BG6xEDbDUkhtWW6H1PCXOhpeBkdtbKRa	chemistry	chemistry-unit1-water-notes.pdf
18pXbC9kEpkS3Jkt7YIfteIKnKgqhRWSb	chemistry	chemistry-unit2-lubricants-notes.pdf
1royI7-Y34d14oIyjj7jnJA4Vtfedt7_2	programming	it-endsem-2025.pdf
1YyEea2qA3bHj4dJ2P1oERCuP-5m3c0-3	programming	it-endsem-2019-2024.pdf
1W8vsQCokXkYkw3y2Q6MyV-z5SfTQ3qqv	programming	it-mst1-solutions.pdf
1wuRDOoeC_m4g2OAv7rArG_oVQBD9uo4-	programming	it-mst1.pdf
1xk7iQwS8eNWwo-TvmTwt5pK7vmchS5ym	programming	it-mst2.pdf
1Z8vWdwcyKy0fd8PB_vdoVzxYf2ryDKpj	programming	basics-of-c-language-semA.pdf
1nmr9hvbq2d-V3p93TQHEyRojiJAOW58A	programming	c-language-book-semA.pdf
11_8M9fmC6LQix-4uny0FIWRJ9hn_f29j	programming	c-language-question-bank-1.pdf
1fkdPft-c3flS6eXpyNZDLnDo5elArFBh	programming	c-language-question-bank-2.pdf
1fstMwKT-CvV7oKr1KUnnaKMDjyNMvoCQ	programming	dbms-notes-1.pdf
1u9pwtd4dLQK8JPahdHYbMFcz0i6dJCkJ	programming	dbms-notes-2.pdf
12IFGlmrr2gTlij5OYnMTJmcyWicjI8cu	programming	dbms-question-bank.pdf
10b2aZT9UsYHvymxCQ6MHkaYV6P53T8Tf	programming	intro-to-ai-notes-1.pdf
1wVLaMQLIaI2K_AOxfiPLapkbZYVPU65Q	programming	intro-to-ai-notes-2.pdf
1HwIOodfFzJNsCLBOe6J_P9QfW_za2Py8	programming	intro-to-ai-question-bank.pdf
1c4Nmhf-3xgg6GByIrAJLvKrsedkgDBhU	programming	unit1-basic-concepts-of-it.pdf
1r91yZsoDC9JakWOA5N093JirnKGm4NLh	programming	flowcharts-and-algorithms.pdf
1bsg_N99U5crbHeGGFb9JFvVUFJQnZ9vS	programming	intro-to-computer-networks.pdf
1H9xtp_qcF_q0Li6MNSZs8x0-sUStB1lW	programming	intro-to-hardware-and-software.pdf
1Wx5OcN4rRhLmli2Xb2E5NWm6XvyjUwIz	programming	overview-of-operating-system.pdf
1su04yF9SdIVc2EI4480ZegTWxF-0cyW7	programming	unit1-it-question-bank.pdf
1i6l_zoDAl6fgFENVIyxBMLg98IhIQVA9	mathematics	math-endsem-2018-2024.pdf
179Yz4Oyx8eN7fRefQaK89a0dlGRPb3pB	mathematics	math-endsem-april2025.pdf
